#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-10T10:50:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af41ece3370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#-out=Plx
#Plx=<2
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.2	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657679968549413376|084.53504863689| 0.0311|-69.15526847408| 0.0314|    0.0024| 0.0325|    1.673| 0.063|    0.636| 0.063|15.2522|0.0007|       |
Gaia DR2 4657680071628597504|084.48734279233| 0.0370|-69.13920835057| 0.0403|    0.0321| 0.0379|    1.958| 0.074|    0.846| 0.077|15.6612|0.0007|       |
Gaia DR2 4657679968549393792|084.50253805547| 0.0432|-69.14494352216| 0.0504|    0.0267| 0.0472|    1.713| 0.087|    0.854| 0.093|14.8352|0.0006|       |
Gaia DR2 4657680037268861184|084.47768557151| 0.0356|-69.15089681759| 0.0358|   -0.0795| 0.0382|    1.758| 0.070|    0.684| 0.070|13.0598|0.0020| 259.88| 0.86
Gaia DR2 4657679968549404288|084.51988310044| 0.0215|-69.15150679503| 0.0222|    0.0099| 0.0215|    1.605| 0.042|    0.591| 0.042|14.4653|0.0007|       |
Gaia DR2 4657680204737208192|084.46261958865| 0.0254|-69.10292082171| 0.0280|    0.0104| 0.0268|    1.644| 0.050|    0.659| 0.050|14.7150|0.0008|       |
Gaia DR2 4657680174707802752|084.47932041335| 0.0473|-69.11725838288| 0.0528|    0.0151| 0.0491|    1.650| 0.093|    0.536| 0.097|16.1152|0.0013|       |
Gaia DR2 4657680277787082880|084.63469331013| 0.0419|-69.12561672358| 0.0439|    0.0212| 0.0422|    1.900| 0.086|    0.926| 0.095|16.0170|0.0015|       |
Gaia DR2 4657680312146807040|084.59713871742| 0.0252|-69.12113216707| 0.0260|   -0.0571| 0.0244|    1.683| 0.049|    0.615| 0.048|14.1293|0.0005|       |
Gaia DR2 4657680342176172288|084.55996348614| 0.0376|-69.10137099683| 0.0423|    0.9399| 0.0389|   -1.685| 0.074|   -1.950| 0.082|16.0841|0.0008|       |
Gaia DR2 4657680312147120000|084.58274685592| 0.0348|-69.11947592041| 0.0345|   -0.0239| 0.0340|    1.731| 0.071|    0.982| 0.072|15.5324|0.0060|       |
Gaia DR2 4657680380866208768|084.64405496403| 0.0323|-69.11465700484| 0.0364|   -0.0037| 0.0335|    1.673| 0.063|    0.696| 0.070|15.5622|0.0018|       |
Gaia DR2 4657680415225898368|084.62264138934| 0.0260|-69.08922156057| 0.0350|   -0.0461| 0.0322|    1.597| 0.049|    0.790| 0.058|14.7665|0.0040|       |
Gaia DR2 4657680445255457536|084.57222285725| 0.0396|-69.09501114167| 0.0525|    0.0150| 0.0467|    1.552| 0.077|    0.599| 0.090|15.6123|0.0010|       |
Gaia DR2 4657680445255458048|084.57380394357| 0.0369|-69.09605443966| 0.0419|   -0.0127| 0.0387|    1.853| 0.072|    0.769| 0.081|15.6997|0.0008|       |
Gaia DR2 4657680449585633280|084.58024428978| 0.0218|-69.10014472427| 0.0262|   -0.0359| 0.0224|    1.730| 0.042|    0.751| 0.049|14.1117|0.0005|       |
Gaia DR2 4657680415225904640|084.64823637454| 0.0427|-69.10185433911| 0.0491|    0.0631| 0.0462|    1.504| 0.083|    0.604| 0.089|14.5191|0.0031|       |
Gaia DR2 4657680483945371904|084.59347761621| 0.0344|-69.08925008711| 0.0379|   -0.0444| 0.0359|    1.768| 0.065|    0.652| 0.073|15.5735|0.0008|       |
Gaia DR2 4657680380844436864|084.62286944735| 0.0381|-69.10570984571| 0.0423|   -0.0200| 0.0388|    1.541| 0.076|    0.631| 0.083|15.5923|0.0013|       |
Gaia DR2 4657680483945368576|084.57966929273| 0.0411|-69.08280943512| 0.0457|    0.0642| 0.0430|    1.821| 0.078|    0.643| 0.087|15.9686|0.0014|       |
Gaia DR2 4657680483945366912|084.56897349820| 0.0348|-69.08144013637| 0.0398|    0.0027| 0.0341|    1.865| 0.071|    0.759| 0.077|15.4307|0.0008|       |
Gaia DR2 4657680483945367296|084.57227207887| 0.0431|-69.07994738578| 0.0511|    0.0179| 0.0471|    1.701| 0.082|    0.715| 0.096|15.8907|0.0012|       |
Gaia DR2 4657680479615199616|084.59880912531| 0.0372|-69.08431994511| 0.0388|   -0.0040| 0.0372|    1.748| 0.070|    0.908| 0.075|12.4963|0.0006|       |
Gaia DR2 4657680380866163456|084.61693632266| 0.0281|-69.10806966773| 0.0343|    0.0353| 0.0304|    1.750| 0.055|    0.734| 0.061|14.9360|0.0008|       |
Gaia DR2 4657680415225902464|084.63013335125| 0.0349|-69.09806428963| 0.0431|    0.0987| 0.0413|    1.892| 0.068|    0.532| 0.084|15.1730|0.0014|       |
Gaia DR2 4657680410895734784|084.65057112510| 0.0279|-69.09943386456| 0.0310|    0.0901| 0.0282|    1.763| 0.054|    0.565| 0.059|11.6454|0.0018|       |
Gaia DR2 4657680449585636352|084.60663654604| 0.0396|-69.10256538467| 0.0470|    0.1462| 0.0447|    1.921| 0.077|    0.408| 0.100|15.9437|0.0023|       |
Gaia DR2 4657680410895729408|084.63442189765| 0.0410|-69.09571902528| 0.0505|    0.0374| 0.0454|    1.682| 0.080|    0.548| 0.095|15.6368|0.0045|       |
Gaia DR2 4657680415225947008|084.64978093002| 0.0242|-69.10256887485| 0.0264|   -0.0373| 0.0235|    1.671| 0.046|    0.555| 0.063|12.9699|0.0012|       |
Gaia DR2 4657680380866211200|084.65171573014| 0.0165|-69.11597911528| 0.0188|   -0.0051| 0.0172|    1.673| 0.032|    0.688| 0.035|13.4744|0.0011|       |
Gaia DR2 4657680376583125760|084.65432024193| 0.0400|-69.11409589988| 0.0521|    0.0270| 0.0467|    1.560| 0.078|    0.639| 0.095|15.5181|0.0025|       |
Gaia DR2 4657680415225922048|084.65000224248| 0.0357|-69.10470636364| 0.0381|    0.0860| 0.0354|    1.655| 0.069|    0.325| 0.076|14.8767|0.0018|       |
Gaia DR2 4657680376535927040|084.65024910232| 0.0192|-69.11292761404| 0.0201|    0.0178| 0.0207|    1.696| 0.037|    0.606| 0.037|13.4539|0.0013|       |
Gaia DR2 4657680376535927808|084.65359450840| 0.0246|-69.11281804722| 0.0291|   -0.0462| 0.0267|    1.686| 0.050|    0.659| 0.056|14.9645|0.0019|       |
Gaia DR2 4657680587024571648|084.46428763540| 0.0248|-69.09169632477| 0.0278|   -0.0163| 0.0259|    1.648| 0.048|    0.548| 0.052|15.1404|0.0005|       |
Gaia DR2 4657680552664841856|084.53505764138| 0.0306|-69.09568873419| 0.0377|   -0.0748| 0.0290|    1.667| 0.061|    0.703| 0.070|13.9894|0.0004|       |
Gaia DR2 4657680587024661504|084.47580884362| 0.0419|-69.09613908207| 0.0446|    0.0357| 0.0413|    1.848| 0.084|    0.536| 0.086|16.1025|0.0012|       |
Gaia DR2 4657680621362544384|084.46680493601| 0.0429|-69.07771840472| 0.0469|   -0.0914| 0.0445|    1.457| 0.081|    0.670| 0.090|15.8556|0.0007|       |
Gaia DR2 4657680513972093952|084.53994959385| 0.0282|-69.10591875808| 0.0287|   -0.0652| 0.0266|    1.707| 0.055|    0.628| 0.054|10.1053|0.0028|       |
Gaia DR2 4657680518305211136|084.53985925600| 0.0354|-69.11498566389| 0.0371|   -0.0584| 0.0357|    1.784| 0.070|    0.772| 0.071|15.5740|0.0007|       |
Gaia DR2 4657680518305213184|084.55011389775| 0.0198|-69.10948894485| 0.0197|   -0.0226| 0.0197|    1.704| 0.036|    0.621| 0.036|13.5359|0.0007|       |
Gaia DR2 4657680655744056704|084.54266375817| 0.0390|-69.08463341051| 0.0431|    0.0653| 0.0407|    1.737| 0.072|    0.777| 0.080|15.6597|0.0008|       |
Gaia DR2 4657680690103795200|084.54713426988| 0.0418|-69.08033520746| 0.0396|   -0.0145| 0.0391|    1.852| 0.075|    0.775| 0.073|15.0772|0.0007|       |
Gaia DR2 4657680655744055424|084.52648345165| 0.0388|-69.08729306232| 0.0464|   -0.0633| 0.0389|    1.736| 0.078|    0.780| 0.090|15.5425|0.0007|       |
Gaia DR2 4657681033702755712|085.15997542973| 0.0258|-69.17348567744| 0.0319|   -0.1255| 0.0302|    1.813| 0.050|    0.552| 0.057|14.1080|0.0010|       |
Gaia DR2 4657681029361783296|085.13793973637| 0.0339|-69.17060943423| 0.0445|   -0.1081| 0.0416|    1.747| 0.065|    0.825| 0.080|15.8776|0.0016|       |
Gaia DR2 4657681068062557440|085.11174525725| 0.0395|-69.20259095973| 0.0493|    0.0019| 0.0454|    1.977| 0.080|    0.715| 0.091|16.2726|0.0010|       |
Gaia DR2 4657681102422293376|085.10968428402| 0.0311|-69.18742755582| 0.0388|   -0.0296| 0.0355|    1.729| 0.061|    0.565| 0.070|13.9273|0.0015|       |
Gaia DR2 4657681068062557056|085.11363442310| 0.0420|-69.19816843791| 0.0523|   -0.0545| 0.0488|    1.811| 0.086|    0.663| 0.098|16.3953|0.0009|       |
Gaia DR2 4657681102422296704|085.13021851046| 0.0413|-69.19249254396| 0.0519|   -0.0288| 0.0498|    1.765| 0.084|    0.588| 0.088|16.1871|0.0037|       |
Gaia DR2 4657681132440914048|085.07432843233| 0.0351|-69.19792612191| 0.0446|   -0.0157| 0.0403|    1.705| 0.070|    0.583| 0.081|16.1237|0.0011|       |
Gaia DR2 4657681308580619648|085.05335566450| 0.0425|-69.15285418623| 0.0516|   -0.0190| 0.0505|    1.959| 0.083|    0.521| 0.091|16.3611|0.0047|       |
Gaia DR2 4657681613534527616|085.12603528476| 0.0364|-69.16425675729| 0.0470|   -0.0465| 0.0429|    1.740| 0.073|    0.544| 0.085|16.2715|0.0007|       |
Gaia DR2 4657681342940405888|085.18745157065| 0.0235|-69.16965411970| 0.0293|   -0.0473| 0.0280|    1.717| 0.047|    0.737| 0.060|14.8999|0.0007|       |
Gaia DR2 4657681480379360000|085.20631080456| 0.0349|-69.15903742686| 0.0435|    0.0734| 0.0412|    1.768| 0.069|    0.489| 0.081|16.0856|0.0013|       |
Gaia DR2 4657681514739097344|085.21652609035| 0.0283|-69.13977709165| 0.0351|    0.0027| 0.0333|    1.642| 0.056|    0.611| 0.064|15.4895|0.0006|       |
Gaia DR2 4657681686537736960|085.05354678018| 0.0314|-69.13708163912| 0.0414|   -0.0060| 0.0390|    1.707| 0.062|    0.495| 0.069|15.8086|0.0006|       |
Gaia DR2 4657681652178018432|085.11201737928| 0.0369|-69.13910368829| 0.0476|   -0.0591| 0.0430|    1.649| 0.073|    0.507| 0.089|16.0961|0.0007|       |
Gaia DR2 4657681823976689024|085.07044676319| 0.0394|-69.11490788759| 0.0497|    0.5952| 0.0480|    1.370| 0.075|    1.082| 0.088|16.1485|0.0008|       |
Gaia DR2 4657681858315980672|085.08618160894| 0.0471|-69.11227361520| 0.0527|   -0.0154| 0.0529|    1.336| 0.090|    0.710| 0.095|16.1435|0.0019|       |
Gaia DR2 4657681858336425984|085.07187385797| 0.0433|-69.10751789106| 0.0521|   -0.1254| 0.0501|    1.489| 0.084|    0.830| 0.092|15.6803|0.0007|       |
Gaia DR2 4657681789616968192|085.12053117086| 0.0397|-69.11901866999| 0.0490|    0.0579| 0.0499|    1.820| 0.075|    0.677| 0.083|15.1822|0.0057|       |
Gaia DR2 4657681750916366720|085.10828941387| 0.0398|-69.13281618905| 0.0459|   -0.0850| 0.0417|    1.449| 0.082|    0.708| 0.077|15.6773|0.0006|       |
Gaia DR2 4657681892696267776|085.03055053867| 0.0266|-69.17852056318| 0.0303|   -0.0632| 0.0294|    1.568| 0.052|    0.429| 0.060|15.5680|0.0006|       |
Gaia DR2 4657681995775477760|084.96832232915| 0.0199|-69.16145352892| 0.0220|   -0.0080| 0.0224|    1.825| 0.039|    0.700| 0.039|13.4076|0.0015| 249.86| 1.03
Gaia DR2 4657682064494855936|085.03448750405| 0.0345|-69.14162914137| 0.0483|    0.0196| 0.0447|    1.858| 0.068|    0.693| 0.081|16.0184|0.0025|       |
Gaia DR2 4657682236273247744|084.89012085862| 0.0361|-69.14861983632| 0.0445|    0.0895| 0.0395|    1.623| 0.073|    0.490| 0.078|15.9400|0.0007|       |
Gaia DR2 4657682167574165888|084.92399775638| 0.0341|-69.15901074256| 0.0380|   -0.0613| 0.0373|    1.713| 0.069|    0.870| 0.069|15.7811|0.0008|       |
Gaia DR2 4657682167574028032|084.91034385739| 0.0262|-69.15014240233| 0.0308|   -0.0105| 0.0289|    1.566| 0.052|    0.716| 0.056|15.4243|0.0019|       |
Gaia DR2 4657682167574024960|084.90222682905| 0.0316|-69.14691564834| 0.0364|   -0.0006| 0.0342|    1.995| 0.060|    0.621| 0.065|15.7324|0.0021|       |
Gaia DR2 4657682442452077184|085.00556299331| 0.0252|-69.13320444140| 0.0319|   -0.0889| 0.0303|    1.693| 0.051|    0.596| 0.056|14.6302|0.0005|       |
Gaia DR2 4657682545531159296|084.97748499660| 0.0381|-69.11115109774| 0.0476|   -0.0024| 0.0452|    1.762| 0.072|    0.454| 0.083|15.6647|0.0006|       |
Gaia DR2 4657682511171431808|084.98594408113| 0.0248|-69.12857436585| 0.0315|    0.0009| 0.0298|    1.595| 0.049|    0.571| 0.055|15.1072|0.0005|       |
Gaia DR2 4657682579890920704|085.03192477621| 0.0255|-69.11220476165| 0.0313|   -0.0090| 0.0307|    1.697| 0.048|    0.582| 0.054|15.0340|0.0004|       |
Gaia DR2 4657682786049275776|084.85982064107| 0.0351|-69.08989012440| 0.0371|    0.0041| 0.0381|    1.556| 0.065|    0.934| 0.068|15.7766|0.0016|       |
Gaia DR2 4657682751669085952|084.93251305491| 0.0390|-69.09713540928| 0.0444|   -0.0327| 0.0446|    1.638| 0.074|    0.723| 0.078|15.2484|0.0006|       |
Gaia DR2 4657682717329830784|084.91641100764| 0.0338|-69.11010488554| 0.0355|   -0.0349| 0.0352|    1.535| 0.064|    0.840| 0.065|15.7640|0.0112|       |
Gaia DR2 4657682957847975936|084.90507629166| 0.0349|-69.06789643654| 0.0413|   -0.0815| 0.0402|    1.647| 0.068|    0.591| 0.072|15.4907|0.0009|       |
Gaia DR2 4657682957847973760|084.89680718804| 0.0442|-69.06682436885| 0.0531|   -0.0794| 0.0512|    1.449| 0.086|    0.812| 0.094|16.3054|0.0008|       |
Gaia DR2 4657682923488234368|084.88340893002| 0.0427|-69.07797552831| 0.0481|   -0.0110| 0.0477|    1.756| 0.079|    0.625| 0.087|15.9290|0.0028|       |
Gaia DR2 4657682923488246016|084.90752112344| 0.0368|-69.08360778733| 0.0410|    0.0391| 0.0405|    1.861| 0.068|    0.566| 0.074|15.4564|0.0008|       |
Gaia DR2 4657682889128516096|084.93995019375| 0.0351|-69.07395486033| 0.0421|   -0.0201| 0.0403|    1.730| 0.066|    0.563| 0.073|15.4659|0.0010|       |
Gaia DR2 4657682923488242816|084.90051921771| 0.0282|-69.08308987033| 0.0312|    0.0029| 0.0308|    1.768| 0.052|    0.663| 0.057|14.7582|0.0005|       |
Gaia DR2 4657683026567583744|085.22148664698| 0.0189|-69.12392113634| 0.0227|   -0.0529| 0.0222|    1.693| 0.036|    0.633| 0.040|14.2860|0.0003|       |
Gaia DR2 4657682992207841152|085.19654510215| 0.0371|-69.13029918802| 0.0488|   -0.0536| 0.0477|    1.851| 0.071|    0.479| 0.084|15.2401|0.0030|       |
Gaia DR2 4657683026567581184|085.21782338648| 0.0229|-69.11628071969| 0.0276|   -0.0121| 0.0270|    1.838| 0.044|    0.663| 0.050|14.2149|0.0004|       |
Gaia DR2 4657683198366258816|085.20033668815| 0.0246|-69.09669775638| 0.0303|   -0.0028| 0.0287|    1.368| 0.047|    0.659| 0.056|15.1923|0.0105|       |
Gaia DR2 4657683129646859008|085.20603812919| 0.0386|-69.10691105893| 0.0446|   -0.0453| 0.0423|    1.685| 0.076|    0.301| 0.083|15.9615|0.0042|       |
Gaia DR2 4657683301445453824|085.13880205957| 0.0317|-69.09374426341| 0.0406|   -0.0181| 0.0388|    1.533| 0.061|    0.500| 0.077|15.6306|0.0007|       |
Gaia DR2 4657683468937400960|085.08974665219| 0.0444|-69.07324247925| 0.0529|   -0.0311| 0.0507|    1.497| 0.086|    0.495| 0.094|14.9645|0.0006|       |
Gaia DR2 4657683503263116928|085.08831463532| 0.0430|-69.05821568834| 0.0551|    0.0302| 0.0509|    1.763| 0.082|    0.777| 0.100|16.2917|0.0027|       |
Gaia DR2 4657683576323378176|085.21719284902| 0.0263|-69.06995430774| 0.0350|    0.0166| 0.0344|    1.716| 0.051|    1.008| 0.064|15.4592|0.0007|       |
Gaia DR2 4657683645042849920|085.20641968517| 0.0160|-69.06331895169| 0.0208|   -0.0135| 0.0208|    1.593| 0.031|    0.622| 0.037|13.6051|0.0003|       |
Gaia DR2 4657683782481787392|085.18374903129| 0.0362|-69.03943164209| 0.0452|    0.0056| 0.0445|    1.798| 0.070|    0.646| 0.085|15.8299|0.0007|       |
Gaia DR2 4657683748122060928|085.20955076367| 0.0341|-69.05031603050| 0.0446|   -0.0081| 0.0427|    1.795| 0.064|    0.938| 0.084|15.9295|0.0009|       |
Gaia DR2 4657683851201262848|085.15985430194| 0.0380|-69.05729730548| 0.0501|   -0.1184| 0.0492|    1.551| 0.072|    0.643| 0.096|16.2327|0.0008|       |
Gaia DR2 4657684053026869120|085.08865468555| 0.0377|-69.01337679555| 0.0518|    0.0020| 0.0497|    1.771| 0.072|    0.600| 0.098|16.0465|0.0011|       |
Gaia DR2 4657684022999915520|085.08512696937| 0.0308|-69.01963623899| 0.0435|   -0.0156| 0.0412|    1.742| 0.059|    0.524| 0.083|15.7016|0.0013|       |
Gaia DR2 4657684160438862848|085.00817306592| 0.0447|-69.08110971930| 0.0561|   -0.1055| 0.0547|    1.966| 0.083|    0.732| 0.097|16.1475|0.0023|       |
Gaia DR2 4657684263518076544|085.03941329966| 0.0398|-69.04849555883| 0.0542|    0.0334| 0.0516|    1.837| 0.076|    0.747| 0.095|16.2330|0.0008|       |
Gaia DR2 4657684229158333824|085.01595221543| 0.0374|-69.05678869040| 0.0544|    0.0039| 0.0520|    1.889| 0.072|    0.733| 0.088|15.8390|0.0020|       |
Gaia DR2 4657684327903390208|084.99219585353| 0.0373|-69.04470968736| 0.0564|   -0.0134| 0.0538|    1.959| 0.072|    0.857| 0.088|15.4608|0.0015|       |
Gaia DR2 4657684263518080000|085.04306806603| 0.0275|-69.05137675191| 0.0363|    0.0083| 0.0352|    1.675| 0.052|    0.605| 0.064|15.1411|0.0049|       |
Gaia DR2 4657684332237530880|084.98095614930| 0.0308|-69.04073848454| 0.0413|    0.0044| 0.0396|    1.561| 0.059|    0.739| 0.072|15.7139|0.0006|       |
Gaia DR2 4657684297877793024|084.97421433396| 0.0211|-69.05051485855| 0.0279|   -0.0186| 0.0272|    1.550| 0.040|    0.655| 0.048|14.6159|0.0005|       |
Gaia DR2 4657684705912624000|085.00329025349| 0.0366|-69.02775705606| 0.0499|   -0.0353| 0.0477|    1.783| 0.070|    0.786| 0.089|16.0397|0.0015|       |
Gaia DR2 4657684877687761408|085.02636750783| 0.0249|-69.00031807395| 0.0328|    0.0348| 0.0311|    1.707| 0.048|    0.775| 0.058|15.1616|0.0005|       |
Gaia DR2 4657684985072507264|084.88576976222| 0.0342|-69.00070565387| 0.0461|    0.0219| 0.0423|    1.669| 0.067|    0.868| 0.082|14.1364|0.0004|       |
Gaia DR2 4657684985072511232|084.89349320115| 0.0342|-69.00536696649| 0.0476|    0.0253| 0.0436|    1.717| 0.066|    0.585| 0.085|15.8841|0.0018|       |
Gaia DR2 4657684985072509184|084.89532965663| 0.0325|-68.99684331350| 0.0451|   -0.0310| 0.0416|    1.771| 0.063|    0.892| 0.081|14.0547|0.0005|       |
Gaia DR2 4657685049486454912|084.94738598023| 0.0346|-68.98944925995| 0.0555|   -0.0020| 0.0489|    1.873| 0.068|    0.949| 0.090|15.1362|0.0006|       |
Gaia DR2 4657685259950411136|084.75313819651| 0.0405|-69.12026868086| 0.0450|    0.0760| 0.0407|    1.762| 0.080|    0.864| 0.084|15.6429|0.0008|       |
Gaia DR2 4657685225590696064|084.81958177524| 0.0340|-69.11752933753| 0.0398|   -0.1260| 0.0371|    1.714| 0.066|    0.843| 0.073|15.7569|0.0006|       |
Gaia DR2 4657685397389361664|084.77032473374| 0.0203|-69.09457455346| 0.0227|    0.0282| 0.0216|    1.747| 0.038|    0.687| 0.042|14.2123|0.0014|       |
Gaia DR2 4657685328669906432|084.82247000786| 0.0320|-69.10275074776| 0.0348|   -0.0105| 0.0347|    1.738| 0.060|    0.697| 0.063|15.6245|0.0006|       |
Gaia DR2 4657685397389373184|084.79550535504| 0.0304|-69.10381371129| 0.0387|   -0.0650| 0.0323|    1.725| 0.057|    0.679| 0.070|15.0366|0.0007|       |
Gaia DR2 4657685393057834368|084.77056516588| 0.0452|-69.09316359690| 0.0530|    0.0380| 0.0481|    1.886| 0.086|    0.653| 0.098|16.2374|0.0014|       |
Gaia DR2 4657685324335465344|084.83437368969| 0.0260|-69.10732764648| 0.0278|   -0.0382| 0.0274|    1.848| 0.049|    0.761| 0.049|12.7708|0.0013|       |
Gaia DR2 4657685496137044352|084.73360365622| 0.0343|-69.09837056559| 0.0381|    0.0078| 0.0371|    1.833| 0.064|    0.628| 0.079|15.5946|0.0009|       |
Gaia DR2 4657685564905715584|084.67988704355| 0.0480|-69.07831545853| 0.0481|   -0.0520| 0.0488|    1.760| 0.090|    0.847| 0.091|14.6241|0.0018|       |
Gaia DR2 4657685534807639808|084.68732617171| 0.0375|-69.09838251963| 0.0414|   -0.0525| 0.0394|    1.616| 0.070|    1.265| 0.082|14.4266|0.0015|       |
Gaia DR2 4657685534828224896|084.66558898927| 0.0425|-69.09425464664| 0.0495|    0.0079| 0.0467|    1.668| 0.081|    0.844| 0.091|15.4092|0.0034|       |
Gaia DR2 4657685534807650304|084.68203658893| 0.0318|-69.09664802186| 0.0347|   -0.0908| 0.0333|    1.754| 0.060|    1.179| 0.064|13.8391|0.0017|       |
Gaia DR2 4657685534828270976|084.67808840257| 0.0327|-69.09516871729| 0.0312|    0.0086| 0.0293|    1.706| 0.060|    0.646| 0.056|11.7387|0.0020|       |
Gaia DR2 4657685534828272512|084.69036652325| 0.0278|-69.09417402371| 0.0334|    0.0102| 0.0325|    1.750| 0.053|    0.705| 0.068|13.8885|0.0005|       |
Gaia DR2 4657685534828257792|084.68440090029| 0.0273|-69.10166586620| 0.0308|    0.1116| 0.0287|    1.874| 0.052|    0.753| 0.056|12.9453|0.0016|       |
Gaia DR2 4657685534828273536|084.69068304074| 0.0479|-69.09469121152| 0.0533|   -0.0727| 0.0501|    1.842| 0.091|    0.785| 0.093|14.6803|0.0031|       |
Gaia DR2 4657685564905335680|084.67474208780| 0.0377|-69.07744505469| 0.0395|   -0.0010| 0.0377|    1.760| 0.072|    0.923| 0.076|14.6278|0.0017|       |
Gaia DR2 4657685466088274688|084.71265145387| 0.0250|-69.09855210944| 0.0270|   -0.0313| 0.0254|    1.718| 0.048|    0.791| 0.051|14.7076|0.0005|       |
Gaia DR2 4657685569187852288|084.66462383416| 0.0447|-69.07741485956| 0.0483|    0.0365| 0.0452|    1.756| 0.085|    0.625| 0.093|15.4364|0.0019|       |
Gaia DR2 4657685500468549248|084.71003208243| 0.0251|-69.09396032212| 0.0273|   -0.0717| 0.0255|    1.758| 0.047|    0.739| 0.050|14.1453|0.0005|       |
Gaia DR2 4657685530545537920|084.68505361902| 0.0262|-69.09340202752| 0.0276|   -0.0869| 0.0264|    1.866| 0.052|    0.777| 0.053|13.6041|0.0007|       |
Gaia DR2 4657685569187855488|084.69335046183| 0.0360|-69.09189626962| 0.0442|   -0.0582| 0.0377|    1.710| 0.070|    1.014| 0.082|15.0711|0.0011|       |
Gaia DR2 4657685569188021120|084.70197594088| 0.0386|-69.09241094334| 0.0442|   -0.0738| 0.0421|    1.540| 0.074|    0.901| 0.077|12.3916|0.0135|       |
Gaia DR2 4657685534828283904|084.69242900070| 0.0255|-69.10485223321| 0.0299|    0.0435| 0.0283|    1.868| 0.049|    1.086| 0.058|13.7556|0.0007|       |
Gaia DR2 4657685461824464896|084.71270054137| 0.0216|-69.10569189233| 0.0253|    0.0792| 0.0256|    1.790| 0.041|    0.580| 0.052|13.9592|0.0045|       |
