#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-04-29T19:05:24 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6170c1272	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=VFTS 682
#-c.eq=J2000
#-c.r= 10
#-c.u=arcmin
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#
#INFO	-c=084.731358-69.074089,bm=10.000000/10.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV|deg|mas|deg|mas|mas|mas|mas/yr|mas/yr|mas/yr|mas/yr|km/s|km/s
#----------------------------|---------------|-------|---------------|-------|----------|-------|---------|------|---------|------|-------|-----
Gaia DR2 4657685496186041344|084.70922693151| 0.5322|-69.09706099444| 0.7446|    0.6362| 0.5950|    1.435| 1.198|    0.459| 2.026|       |
Gaia DR2 4657685461824369920|084.70766060253|52.7596|-69.10508322103|21.2281|          |       |         |      |         |      |       |
Gaia DR2 4657685534807670528|084.67022677450| 0.7840|-69.08861523982| 0.8114|   -0.9247| 0.7833|    6.055| 1.526|   -1.749| 2.111|       |
Gaia DR2 4657685569188021120|084.70197594088| 0.0386|-69.09241094334| 0.0442|   -0.0738| 0.0421|    1.540| 0.074|    0.901| 0.077|       |
Gaia DR2 4657685569167427584|084.67254496541| 3.4252|-69.08360464416| 1.4942|          |       |         |      |         |      |       |
Gaia DR2 4657685530545618048|084.69717027174| 0.5067|-69.09463919443| 0.6475|          |       |         |      |         |      |       |
Gaia DR2 4657685569187885952|084.67400081178| 0.4682|-69.08161570094| 0.4145|    0.1976| 0.3874|    4.720| 0.979|    2.609| 0.826|       |
Gaia DR2 4657685534828282624|084.69201452725| 0.1344|-69.10199824456| 0.1674|    0.0046| 0.1401|    1.603| 0.269|    0.357| 0.327|       |
Gaia DR2 4657685569167429504|084.67667131103| 1.0919|-69.07893693620| 0.5528|          |       |         |      |         |      |       |
Gaia DR2 4657685534807670144|084.67072570278| 0.8960|-69.08908497453| 2.2078|          |       |         |      |         |      |       |
Gaia DR2 4657685534828277760|084.68772195883| 0.5927|-69.09862116217| 0.8173|          |       |         |      |         |      |       |
Gaia DR2 4657685569187930240|084.68191673720| 5.1417|-69.08148096985| 3.4900|          |       |         |      |         |      |       |
Gaia DR2 4657685564905363840|084.70792469727| 0.7911|-69.09162863225| 1.4963|          |       |         |      |         |      |       |
Gaia DR2 4657685564905363712|084.70773934946| 0.3662|-69.09285146749| 0.5724|   -0.0293| 0.4406|    1.939| 0.712|   -0.687| 1.193|       |
Gaia DR2 4657685569188016384|084.69579947616| 1.2455|-69.09036391166| 0.5177|   -0.8547| 0.8165|    3.820| 1.886|    2.972| 1.014|       |
Gaia DR2 4657685534828283776|084.69502830374| 0.4928|-69.10182863253| 0.8770|          |       |         |      |         |      |       |
Gaia DR2 4657685534828283520|084.69922976649| 5.0606|-69.09652815989| 3.4559|          |       |         |      |         |      |       |
Gaia DR2 4657685534807583232|084.68916059830| 0.4839|-69.09384114068| 0.7456|          |       |         |      |         |      |       |
Gaia DR2 4657685534807662976|084.67545072100| 0.3172|-69.09279776924| 0.2927|    0.0292| 0.2897|    6.701| 0.573|    1.911| 0.603|       |
Gaia DR2 4657685534807591296|084.67482520208| 0.3882|-69.09668295184| 0.3793|   -0.2154| 0.4089|    4.661| 0.805|    3.005| 0.767|       |
Gaia DR2 4657685461824681856|084.71783227462| 6.3415|-69.11008667137|47.5922|          |       |         |      |         |      |       |
Gaia DR2 4657685534807672576|084.67548103761| 5.1243|-69.09209194375| 4.7850|          |       |         |      |         |      |       |
Gaia DR2 4657685569188017024|084.69586852299| 0.1929|-69.09387068996| 0.2764|    0.1089| 0.2228|    2.648| 0.364|   -1.311| 0.571|       |
Gaia DR2 4657685569188021376|084.70310373783| 0.1156|-69.09441310846| 0.2194|   -0.4597| 0.1680|   -0.382| 0.229|   -4.893| 0.413|       |
Gaia DR2 4657685569188021248|084.69994383312| 0.3089|-69.09409308401| 0.3932|    0.8255| 0.4016|    1.739| 0.634|    4.877| 0.854|       |
Gaia DR2 4657685569188247296|084.67104440418| 6.4320|-69.08438595091| 8.1526|          |       |         |      |         |      |       |
Gaia DR2 4657685534828284416|084.69720657923| 0.3322|-69.10235291663| 0.4000|   -1.5888| 0.3689|    1.377| 0.649|    2.764| 0.809|       |
Gaia DR2 4657685534807622272|084.69289069163| 2.8370|-69.09831304028| 9.2087|          |       |         |      |         |      |       |
Gaia DR2 4657685530543927040|084.70222565001| 1.0775|-69.10395731843| 1.5365|          |       |         |      |         |      |       |
Gaia DR2 4657685564905725824|084.68546989036| 3.4730|-69.08786605939| 2.0301|          |       |         |      |         |      |       |
Gaia DR2 4657685569187942656|084.66552124760| 4.0743|-69.08509870078| 4.1114|          |       |         |      |         |      |       |
Gaia DR2 4657685534828283904|084.69242900070| 0.0255|-69.10485223321| 0.0299|    0.0435| 0.0283|    1.868| 0.049|    1.086| 0.058|       |
Gaia DR2 4657685569167403776|084.67930998073| 0.2607|-69.08687693679| 0.3173|    0.9344| 0.2501|    2.752| 0.504|    0.732| 0.621|       |
Gaia DR2 4657685569167438848|084.67427361295| 0.0723|-69.08534206459| 0.0488|    0.0237| 0.0613|    1.787| 0.122|    0.450| 0.095|       |
Gaia DR2 4657685534807665280|084.67713439560| 6.3473|-69.09011867445| 8.4844|          |       |         |      |         |      |       |
Gaia DR2 4657685564905237632|084.69544783379| 0.0589|-69.09358343365| 0.0831|    0.0312| 0.0792|    1.373| 0.114|    0.198| 0.166|       |
Gaia DR2 4657685496185810944|084.71017590845| 0.1174|-69.09295816899| 0.1517|    0.2023| 0.1221|    2.127| 0.229|    0.947| 0.296|       |
Gaia DR2 4657685534828285568|084.69859529318| 1.5950|-69.10177099154| 1.7113|          |       |         |      |         |      |       |
Gaia DR2 4657685461824464896|084.71270054137| 0.0216|-69.10569189233| 0.0253|    0.0792| 0.0256|    1.790| 0.041|    0.580| 0.052|       |
Gaia DR2 4657685534828221824|084.66894108561| 0.1736|-69.09923336667| 0.2552|   -0.6051| 0.1964|    0.947| 0.344|   -0.926| 0.428|       |
Gaia DR2 4657685569168188032|084.70534601332| 0.4694|-69.09226329235| 0.5882|   -0.0987| 0.5119|    0.305| 1.075|   -0.534| 1.783|       |
Gaia DR2 4657685564905358720|084.70105166649| 0.3853|-69.09399306491| 0.6751|          |       |         |      |         |      |       |
Gaia DR2 4657685569188023296|084.70934366341| 0.8556|-69.09185456785| 1.0319|    1.0060| 0.8875|    0.204| 1.569|    2.820| 2.221|       |
Gaia DR2 4657685534807666432|084.67286996850| 0.3939|-69.09296311008| 0.3832|   -0.4264| 0.3901|    3.410| 0.754|    3.181| 0.770|       |
Gaia DR2 4657685569168187776|084.70733209970| 1.0289|-69.09224399630| 1.2834|   -0.5590| 1.0304|    1.573| 1.839|    1.364| 2.337|       |
Gaia DR2 4657685500448034816|084.72632345811| 0.5549|-69.09780385385| 0.9631|    0.2305| 0.7190|    4.400| 1.239|    1.584| 1.707|       |
Gaia DR2 4657685466108818304|084.70703867118| 0.0916|-69.10828445053| 0.1105|   -0.4648| 0.0996|    1.009| 0.164|   -0.631| 0.213|       |
Gaia DR2 4657685500468556544|084.71964894997| 0.9373|-69.09425723416| 2.5384|          |       |         |      |         |      |       |
Gaia DR2 4657685569168187520|084.70733790883|15.8356|-69.09597765531|92.6820|          |       |         |      |         |      |       |
Gaia DR2 4657685534828223232|084.67283360399| 1.0745|-69.09719678257| 0.6075|          |       |         |      |         |      |       |
Gaia DR2 4657685496185811968|084.71543011247| 0.1749|-69.09173299247| 0.2350|   -0.1775| 0.1866|    1.817| 0.348|    0.793| 0.434|       |
Gaia DR2 4657685569167476736|084.70212623249| 0.0691|-69.09456242526| 0.1033|    0.1779| 0.0883|    2.159| 0.129|    0.989| 0.185|       |
Gaia DR2 4657685534828222976|084.67238523519| 0.7279|-69.09749195127| 0.6133|          |       |         |      |         |      |       |
Gaia DR2 4657685500468556160|084.73132192746| 1.1136|-69.09441170787| 2.2604|          |       |         |      |         |      |       |
Gaia DR2 4657685534828222848|084.67164450361| 0.5763|-69.09782404034| 0.6599|          |       |         |      |         |      |       |
Gaia DR2 4657685534828222720|084.67304625149| 0.2623|-69.09782009538| 0.5268|   -0.4656| 0.3925|    2.765| 0.506|    3.789| 0.839|       |
Gaia DR2 4657685564905359744|084.70223909668| 0.4685|-69.09524081488| 0.9210|          |       |         |      |         |      |       |
Gaia DR2 4657685534828222592|084.66913411355| 1.4224|-69.09755069655| 1.1903|          |       |         |      |         |      |       |
Gaia DR2 4657685461824231808|084.74468201419| 0.0555|-69.11309595857| 0.0674|   -0.0200| 0.0604|    1.914| 0.109|    0.714| 0.126|       |
Gaia DR2 4657685461824713472|084.74547021682| 0.0395|-69.11171324608| 0.0477|   -0.0566| 0.0426|    1.741| 0.077|    0.737| 0.089|       |
Gaia DR2 4657685534828222464|084.66984011126| 0.2446|-69.09773419253| 0.2271|   -1.7475| 0.2973|    0.074| 0.439|    0.467| 0.558|       |
Gaia DR2 4657685466108819200|084.70776171948| 8.6261|-69.10698300011| 9.3728|          |       |         |      |         |      |       |
Gaia DR2 4657685534807603712|084.66148918140| 1.3760|-69.08949446126| 1.8003|          |       |         |      |         |      |       |
Gaia DR2 4657685534828224128|084.67058461319| 3.2697|-69.09663527181| 0.7936|          |       |         |      |         |      |       |
Gaia DR2 4657685534808757248|084.69242655305| 1.7905|-69.09593546149| 2.9497|          |       |         |      |         |      |       |
Gaia DR2 4657685466108818944|084.71568414174| 0.0466|-69.10034147809| 0.0545|    0.0219| 0.0498|    2.037| 0.090|    0.865| 0.105|       |
Gaia DR2 4657685534828224000|084.67145874597| 0.2022|-69.09706914652| 0.2422|   -0.6231| 0.2128|   -0.922| 0.461|    2.301| 0.441|       |
Gaia DR2 4657685534828223872|084.67038014082| 0.2920|-69.09727669733| 0.2971|   -0.7158| 0.3273|    3.195| 0.477|    2.179| 0.504|       |
Gaia DR2 4657685500448037248|084.72902993623| 0.3376|-69.09871006249| 0.4986|   -0.0234| 0.3757|    1.663| 0.749|    1.483| 1.280|       |
Gaia DR2 4657685534828237440|084.67876403397| 0.2579|-69.10137880916| 0.3400|    0.1266| 0.2492|    1.455| 0.486|    1.108| 0.634|       |
Gaia DR2 4657685534828272640|084.69181365585| 0.2418|-69.09350944130| 0.3133|    0.1555| 0.2642|    2.543| 0.461|    1.268| 0.512|       |
Gaia DR2 4657685534807605120|084.67325776872| 0.9391|-69.09829047886| 1.0237|          |       |         |      |         |      |       |
Gaia DR2 4657685530545622272|084.70302032591| 1.7856|-69.09605984968| 4.6207|          |       |         |      |         |      |       |
Gaia DR2 4657685500468556800|084.72288729451| 0.1604|-69.09177274381| 0.2011|   -0.0418| 0.1731|    2.210| 0.298|    1.899| 0.381|       |
Gaia DR2 4657685466108833536|084.74186777417| 0.1483|-69.10825862269| 0.1963|    0.1678| 0.1561|    1.927| 0.300|    0.164| 0.380|       |
Gaia DR2 4657685564905772672|084.70743496875| 9.9552|-69.08914598393| 8.4176|          |       |         |      |         |      |       |
Gaia DR2 4657685534828273024|084.68092878439| 0.1855|-69.09502344090| 0.4619|   -1.9332| 0.3431|    1.814| 0.344|    0.454| 0.608|       |
Gaia DR2 4657685530545558656|084.66333904343| 0.2692|-69.09127133359| 0.2683|   -0.2165| 0.2432|    2.241| 0.511|    0.088| 0.511|       |
Gaia DR2 4657685496185893632|084.72219879549| 0.2219|-69.09284640841| 0.3504|    0.0117| 0.2684|    1.437| 0.414|    1.490| 0.609|       |
Gaia DR2 4657685534807697024|084.66562902911| 0.1919|-69.09841867108| 0.2560|    0.8358| 0.2186|    2.130| 0.429|    3.087| 0.516|       |
Gaia DR2 4657685534807696896|084.66363725498| 0.2700|-69.09798759767| 0.5621|          |       |         |      |         |      |       |
Gaia DR2 4657685534828216576|084.67815550062| 1.1142|-69.09980937875| 1.0869|          |       |         |      |         |      |       |
Gaia DR2 4657685500448038016|084.73012815914| 0.0614|-69.09908978261| 0.0697|   -0.0067| 0.0614|    1.803| 0.116|    0.993| 0.127|       |
Gaia DR2 4657685534807696512|084.66468668614| 0.6980|-69.09792455002| 0.9527|          |       |         |      |         |      |       |
Gaia DR2 4657685534828216320|084.66868234978| 0.1430|-69.09818852271| 0.1783|   -1.0584| 0.1701|    0.389| 0.250|   -0.410| 0.353|       |
Gaia DR2 4657685466108821376|084.72015939823| 0.0296|-69.10336444495| 0.0339|   -0.0012| 0.0318|    1.838| 0.057|    0.723| 0.067|       |
Gaia DR2 4657685534808452352|084.66315938210| 1.1803|-69.09688794847| 2.1400|          |       |         |      |         |      |       |
Gaia DR2 4657685461824715264|084.74671169478| 0.6151|-69.10776624761| 0.7690|   -1.1386| 0.5509|    0.034| 1.288|   -2.538| 1.531|       |
Gaia DR2 4657685534828218112|084.69385052135|57.4118|-69.09995067487|16.8832|          |       |         |      |         |      |       |
Gaia DR2 4657685569167251968|084.67130302059| 0.1901|-69.07720165850| 0.1850|   -0.3257| 0.1764|    1.335| 0.361|    0.731| 0.363|       |
Gaia DR2 4657685569187884800|084.68094276574| 1.0165|-69.07928828712| 0.5112|   -0.3705| 0.7069|    1.236| 1.860|    2.036| 1.047|       |
Gaia DR2 4657685534828217984|084.69216103539| 0.2683|-69.10000655084| 1.0245|          |       |         |      |         |      |       |
Gaia DR2 4657685569187863808|084.69795206636| 3.0470|-69.08367074610| 3.1304|          |       |         |      |         |      |       |
Gaia DR2 4657685534807743488|084.69702936502| 0.7665|-69.10342266181| 1.1070|   -1.2101| 0.7974|    3.263| 1.793|    9.373| 2.956|       |
Gaia DR2 4657685534828217856|084.69286032449| 0.0360|-69.09983281122| 0.0467|   -0.2936| 0.0427|    1.509| 0.071|    1.024| 0.114|       |
Gaia DR2 4657685569187863680|084.69755189880| 2.3966|-69.08376242865| 2.4474|          |       |         |      |         |      |       |
Gaia DR2 4657685530496770944|084.68993509290| 0.0291|-69.09662826356| 0.0305|    0.0244| 0.0311|    1.836| 0.055|    0.774| 0.059|       |
Gaia DR2 4657685500468559104|084.72390812684| 0.3951|-69.09608324469| 0.6853|    0.0533| 0.4325|    2.701| 0.864|    2.887| 1.479|       |
Gaia DR2 4657685534828217600|084.67988329307| 0.1508|-69.10103469840| 0.2087|    0.3526| 0.1648|    3.486| 0.298|    2.688| 0.389|       |
Gaia DR2 4657685466108820608|084.71410709343| 0.0662|-69.10479293219| 0.0797|    0.0161| 0.0723|    1.606| 0.128|    0.456| 0.156|       |
Gaia DR2 4657685534828290944|084.70470998487| 2.0960|-69.10438029541| 2.7770|          |       |         |      |         |      |       |
Gaia DR2 4657685564905284608|084.70050593550| 0.6529|-69.09496247097| 0.8324|   -1.8996| 0.8011|   -2.475| 1.142|   -4.625| 1.546|       |
Gaia DR2 4657685534807598464|084.67735087631| 3.4472|-69.09986961525| 2.7488|          |       |         |      |         |      |       |
Gaia DR2 4657685496184010496|084.74577643480| 0.3560|-69.10201427451| 0.4043|   -0.4331| 0.3521|    1.746| 0.704|    1.063| 0.788|       |
Gaia DR2 4657685530545547904|084.70464209800| 0.1312|-69.09646086544| 0.2417|   -0.2403| 0.1868|    2.286| 0.259|    2.744| 0.427|       |
Gaia DR2 4657685534828290304|084.70664604164| 1.2363|-69.10178947533| 2.1141|          |       |         |      |         |      |       |
Gaia DR2 4657685534828218624|084.68917417017| 0.1330|-69.10013477691| 0.1749|   -0.9377| 0.1595|    2.291| 0.257|    3.016| 0.432|       |
Gaia DR2 4657685500468551808|084.71467008137| 0.9872|-69.09560674788| 4.0447|          |       |         |      |         |      |       |
Gaia DR2 4657685534807742848|084.69767804506| 0.3860|-69.10366356441| 0.4633|   -1.0197| 0.4225|    0.014| 0.757|    0.670| 0.919|       |
Gaia DR2 4657685466108815104|084.70792206407| 0.3668|-69.10263431045| 0.4473|    0.5472| 0.4206|    3.944| 0.749|    0.463| 0.918|       |
Gaia DR2 4657685564905287552|084.70827019825| 0.1344|-69.09438957871| 0.1821|    0.0994| 0.1436|    1.568| 0.256|    0.618| 0.330|       |
Gaia DR2 4657685534828219904|084.67348569024| 3.9961|-69.09978046856|11.0544|          |       |         |      |         |      |       |
Gaia DR2 4657685500468553088|084.71690270325| 0.0306|-69.09274286605| 0.0389|   -0.0140| 0.0330|    1.702| 0.057|    0.726| 0.069|       |
Gaia DR2 4657685530543791616|084.69002072381| 1.4242|-69.10299182450| 1.9188|          |       |         |      |         |      |       |
Gaia DR2 4657685534807599232|084.68386054432| 0.1228|-69.10112299527| 0.1462|   -0.0003| 0.1350|    2.067| 0.236|   -1.078| 0.281|       |
Gaia DR2 4657685564905287296|084.70685958100| 0.1181|-69.09476495825| 0.1956|    0.1224| 0.1459|    1.665| 0.237|    0.699| 0.342|       |
Gaia DR2 4657685461824342528|084.74376430429| 0.3499|-69.11738633236| 0.4672|    0.0130| 0.2913|    1.327| 0.709|    0.376| 0.840|       |
Gaia DR2 4657685569187894400|084.70687216273| 1.0444|-69.08539410043| 1.1874|          |       |         |      |         |      |       |
Gaia DR2 4657685534828291072|084.70435792440| 0.0360|-69.10545976304| 0.0404|    0.0033| 0.0401|    1.734| 0.069|    0.684| 0.088|       |
Gaia DR2 4657685496185896064|084.72625145331| 0.3656|-69.09020142789| 0.4738|    0.1948| 0.4002|    0.718| 0.689|   -0.341| 0.884|       |
Gaia DR2 4657685461824342912|084.74585353100| 0.5743|-69.10895369555| 0.7924|   -0.0681| 0.6207|    1.190| 1.210|    3.232| 1.487|       |
Gaia DR2 4657685461824689280|084.72616353592| 0.2100|-69.11366387290| 0.2598|   -0.3426| 0.2172|    3.329| 0.421|    5.059| 0.497|       |
Gaia DR2 4657685496186047744|084.71683315705| 0.9803|-69.09736554521| 1.4224|          |       |         |      |         |      |       |
Gaia DR2 4657685534828229248|084.67288438017|10.6034|-69.09817589079|54.9098|          |       |         |      |         |      |       |
Gaia DR2 4657685534828094848|084.68109188959| 2.0065|-69.09079448263| 1.2983|          |       |         |      |         |      |       |
Gaia DR2 4657685500468554112|084.71975918981| 0.3971|-69.09216598864| 0.6266|   -0.2067| 0.4989|    1.337| 0.757|    1.769| 1.246|       |
Gaia DR2 4657685534828228992|084.67395119061| 2.1435|-69.09754750736| 1.0356|          |       |         |      |         |      |       |
Gaia DR2 4657685530543714944|084.68898842157| 0.0927|-69.10208165166| 0.1088|    0.1307| 0.0992|    2.036| 0.181|    0.851| 0.212|       |
Gaia DR2 4657685569187895680|084.68915265410| 5.4017|-69.09045589187| 2.2181|          |       |         |      |         |      |       |
Gaia DR2 4657685569167203456|084.69791047285| 1.1575|-69.08259228993| 0.7454|          |       |         |      |         |      |       |
Gaia DR2 4657685500448034048|084.72492101050| 0.7219|-69.09879652951| 1.3861|    1.2598| 0.9147|    4.238| 1.747|    2.991| 2.757|       |
Gaia DR2 4657685569187895424|084.70257639884| 0.3844|-69.08842121225| 0.4580|    0.5471| 0.4511|    3.473| 0.713|    3.899| 0.872|       |
Gaia DR2 4657685530496759552|084.66729149064| 0.0473|-69.09758554525| 0.0602|   -0.3707| 0.0563|    1.207| 0.088|    1.136| 0.101|       |
Gaia DR2 4657685569187895296|084.70239735053| 1.4838|-69.08865533955| 0.8351|          |       |         |      |         |      |       |
Gaia DR2 4657685534828230528|084.69496390873| 0.0252|-69.10088293708| 0.0256|    0.0564| 0.0282|    1.747| 0.048|    0.722| 0.050|       |
Gaia DR2 4657685564856497792|084.66698159950| 0.0494|-69.08328370518| 0.0518|   -0.0294| 0.0557|    1.634| 0.094|    0.764| 0.112|       |
Gaia DR2 4657685461824475264|084.72886181737| 0.5001|-69.10898766030| 0.6478|    0.6775| 0.5443|    3.461| 0.966|    1.884| 1.128|       |
Gaia DR2 4657685466108816512|084.71335480259| 0.0636|-69.09982772745| 0.0769|    0.4506| 0.0725|    2.030| 0.121|    0.572| 0.147|       |
Gaia DR2 4657685569187927296|084.69491530241| 0.1281|-69.08456994088| 0.1526|   -0.3847| 0.1473|    1.588| 0.250|    1.143| 0.288|       |
Gaia DR2 4657685530543715712|084.69901518858| 0.0690|-69.10612291069| 0.0849|   -0.0665| 0.0704|    1.627| 0.142|    0.752| 0.176|       |
Gaia DR2 4657685534828231552|084.69531766507| 2.1554|-69.10008344446| 1.2768|          |       |         |      |         |      |       |
Gaia DR2 4657685534828231168|084.67922760706| 2.2495|-69.10033929191|11.1837|          |       |         |      |         |      |       |
Gaia DR2 4657685564856498304|084.66747762644| 0.2201|-69.08566382757| 0.2660|   -0.0295| 0.2284|    1.375| 0.426|    0.747| 0.523|       |
Gaia DR2 4657685569167422336|084.66883378986| 0.7389|-69.08350204296| 0.8177|    1.4421| 0.8286|    2.711| 1.294|    1.030| 1.599|       |
Gaia DR2 4657685530543716736|084.70483661666| 0.0702|-69.10237633226| 0.0835|    0.0173| 0.0764|    1.862| 0.140|    0.581| 0.169|       |
Gaia DR2 4657685496185890944|084.71600467781| 0.2463|-69.09518554101| 0.3580|    0.2283| 0.2769|    2.650| 0.501|    0.405| 0.782|       |
Gaia DR2 4657685569167270656|084.68441937259| 0.2208|-69.08120488266| 0.2699|    0.6001| 0.2611|    2.923| 0.406|    0.069| 0.454|       |
Gaia DR2 4657685534807611776|084.68873259267| 0.0680|-69.09759914769| 0.0743|    0.1308| 0.0690|    2.061| 0.148|    0.711| 0.166|       |
Gaia DR2 4657685569167442432|084.67333936405| 0.0409|-69.08706846740| 0.0438|   -0.0598| 0.0378|    1.596| 0.076|    0.806| 0.079|       |
Gaia DR2 4657685461824241280|084.73248961512| 0.0874|-69.11255305761| 0.1105|   -0.0167| 0.0936|    1.633| 0.175|    0.899| 0.213|       |
Gaia DR2 4657685564856499328|084.66921439322| 0.0317|-69.08224189944| 0.0331|    0.0300| 0.0315|    1.567| 0.060|    0.657| 0.063|       |
Gaia DR2 4657685569167442304|084.67477854351| 0.1112|-69.08696233175| 0.1215|    0.9674| 0.1177|    2.157| 0.204|   -0.383| 0.221|       |
Gaia DR2 4657685496186347264|084.73400818386| 0.6877|-69.09146540792| 1.4161|          |       |         |      |         |      |       |
Gaia DR2 4657685534828231808|084.69469137852| 1.0051|-69.10016800822| 1.3031|          |       |         |      |         |      |       |
Gaia DR2 4657685461824241024|084.73014415972| 0.4151|-69.11494406013| 0.5125|   -1.5035| 0.4978|   -0.433| 0.786|    1.861| 0.941|       |
Gaia DR2 4657685496183979264|084.72701228594| 0.0820|-69.09981800298| 0.0934|   -0.0571| 0.0853|    1.604| 0.157|    0.494| 0.189|       |
Gaia DR2 4657685569167443584|084.68339876571| 0.1311|-69.08006624559| 0.1292|    0.0923| 0.1206|    2.428| 0.249|    1.489| 0.246|       |
Gaia DR2 4657685564905681792|084.66433946817| 0.6057|-69.08341420194| 0.5607|    0.3687| 0.6446|    0.824| 1.160|   -4.395| 1.151|       |
Gaia DR2 4657685530543796608|084.69836847676| 1.6798|-69.10390874922|11.2238|          |       |         |      |         |      |       |
Gaia DR2 4657685500448046336|084.74071348063| 0.1399|-69.10215803532| 0.1828|    0.3709| 0.1445|    2.278| 0.286|    9.878| 0.377|       |
Gaia DR2 4657685569167443200|084.67861949257| 1.0601|-69.08349006790| 1.6245|          |       |         |      |         |      |       |
Gaia DR2 4657685534828224640|084.66596270738| 0.2431|-69.09493213846| 0.2443|   -0.0736| 0.2547|    2.150| 0.455|    0.059| 0.483|       |
Gaia DR2 4657685530545971200|084.67708930986| 0.7931|-69.09078432129| 0.6044|          |       |         |      |         |      |       |
Gaia DR2 4657685534807605888|084.68270434930| 0.4030|-69.09466970165| 0.3470|    1.5214| 0.3379|   -0.115| 0.568|   -0.234| 0.536|       |
Gaia DR2 4657685461824471296|084.72334782246| 1.3734|-69.10393502759| 1.3536|          |       |         |      |         |      |       |
Gaia DR2 4657685569187872128|084.68736419127| 0.2425|-69.08804226852| 0.1792|    0.1235| 0.2091|    1.553| 0.436|    1.567| 0.353|       |
Gaia DR2 4657685530543797888|084.70111083198| 0.3768|-69.10649284425| 0.5260|   -0.3628| 0.3947|   -0.201| 0.764|   -0.374| 1.010|       |
Gaia DR2 4657685530543793280|084.69391281168| 0.3475|-69.10276031656| 0.4043|   -0.0466| 0.3309|    1.538| 0.767|    1.577| 0.765|       |
Gaia DR2 4657685564905333120|084.67155351034| 0.5108|-69.07867137287| 0.5314|    0.7183| 0.5346|    2.491| 0.991|    0.347| 1.086|       |
Gaia DR2 4657685569187865472|084.67106047287| 0.2161|-69.08205463903| 0.2702|    0.1808| 0.2520|    1.818| 0.424|   -2.493| 0.522|       |
Gaia DR2 4657685569167444224|084.67746099738| 0.2510|-69.08597152497| 0.2747|    0.1132| 0.2655|    1.757| 0.427|    0.917| 0.491|       |
Gaia DR2 4657685534828106624|084.68229611728|49.7836|-69.09349141478|20.6279|          |       |         |      |         |      |       |
Gaia DR2 4657685530543797504|084.70075626279| 0.6329|-69.10034523481| 1.4063|          |       |         |      |         |      |       |
Gaia DR2 4657685496186054272|084.72263360990| 2.7978|-69.09540519802| 7.7789|          |       |         |      |         |      |       |
Gaia DR2 4657685534807697152|084.66557004580| 0.1826|-69.09740787987| 0.2531|   -0.4298| 0.1989|    1.832| 0.342|    1.799| 0.426|       |
