#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-01T11:24:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ae6c6f14a55	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=24	
#-oc.form=dec
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&pos:VFTS 682( 10 arcmin J2000)&HTTPPRM:&&-ref=VIZ5ae6c6f14a55&-oc.form=dec&-c.r=25&-c.geom=b&-order=I&-out.orig=standard&-out=designation&-out=ra&-out=ra_error&-out=dec&-out=dec_error&-out=parallax&-out=parallax_error&-out=pmra&-out=pmra_error&-out=pmdec&-out=pmdec_error&-out=radial_velocity&-out=radial_velocity_error&-file=-c&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=| -Separated-Values&-c.eq=J2000&-c.u=arcsec&
#-out.add=_1
#-c.r=0
#-c.geom=b
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#-out=e_RA_ICRS
#-out=DE_ICRS
#-out=e_DE_ICRS
#-out=Plx
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=RV
#-out=e_RV
#-out.max=9999
#-c.eq=J2000
#-c.u=arcsec
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_1	(A24)	The original question (from your input file)	[ucd=meta.id]
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_1|DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|RV|e_RV
                        |Gaia DR2 4038917361775888640|270.59776507202| 0.5407|-35.79570333182| 0.3956|   -0.5065| 0.6870|    2.231| 0.737|   -1.547| 0.646|       |
                        |Gaia DR2 4038917361810605184|270.59891521788| 0.6705|-35.79506989135| 0.6357|    3.6429| 0.7156|    4.020| 1.431|   -8.795| 1.322|       |
                        |Gaia DR2 4038917361775888768|270.59794131815| 0.3387|-35.79597758074| 0.3143|   -0.2330| 0.3840|   -3.656| 0.771|   -0.638| 0.758|       |
                        |Gaia DR2 4038917361775768704|270.60400968501| 0.4081|-35.79978883709| 0.3861|    0.7866| 0.5030|   -0.443| 0.773|   -6.596| 0.697|       |
                        |Gaia DR2 4038917361775767680|270.60503620185| 7.5257|-35.79899221715| 3.9744|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361880293504|270.60545460261| 0.0426|-35.79673965436| 0.0391|    0.2107| 0.0425|   -2.377| 0.078|   -6.067| 0.064|       |
                        |Gaia DR2 4038917361775765888|270.60609797468| 0.2270|-35.79817648203| 0.2165|   -0.0159| 0.2834|   -3.757| 0.422|   -4.251| 0.367|       |
                        |Gaia DR2 4038917361775809792|270.60388892484| 0.2332|-35.79738767449| 0.2232|   -1.3158| 0.2600|   -0.913| 0.427|   -2.732| 0.373|       |
                        |Gaia DR2 4038917361775804544|270.60281025456| 0.4175|-35.79861344092| 0.3660|    1.9629| 0.4696|   -8.134| 0.699|   -3.986| 0.618|       |
                        |Gaia DR2 4038917361777355776|270.60242875149| 1.7759|-35.79712903506| 1.7278|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361776701824|270.60234977559| 0.8471|-35.79797312005| 0.6927|   -0.4169| 0.6834|   -5.278| 1.412|   -7.122| 1.153|       |
                        |Gaia DR2 4038917361775826432|270.60334362071| 4.5822|-35.79670887421| 6.1076|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775828864|270.60359583322| 0.5239|-35.79617920632| 0.5057|    0.2572| 0.6093|   -1.275| 1.101|   -4.589| 1.033|       |
                        |Gaia DR2 4038917361775817856|270.60518511193|34.7128|-35.79572681001|34.0688|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775817216|270.60478160854| 4.3813|-35.79578628128| 3.7914|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775809920|270.60413899923| 4.2007|-35.79718215293| 3.6569|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775817344|270.60460138687|11.3279|-35.79495342453| 7.4411|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775817472|270.60484655191| 0.3690|-35.79535411345| 0.3549|    1.3502| 0.3143|   -3.159| 0.727|   -1.099| 0.596|       |
                        |Gaia DR2 4038917361775817728|270.60492892842| 0.5595|-35.79568897704| 0.4840|   -1.4888| 0.6683|   16.841| 0.983|  -17.928| 0.872|       |
                        |Gaia DR2 4038917361775800960|270.60621812422| 0.2766|-35.79596338419| 0.2607|   -0.0795| 0.3422|   -6.084| 0.502|   -3.566| 0.438|       |
                        |Gaia DR2 4038917361775778048|270.60801036438| 1.3317|-35.79581941425| 1.2147|   -0.9260| 1.1078|    3.598| 2.322|   -1.779| 1.989|       |
                        |Gaia DR2 4038917361880291200|270.60892162647| 0.1859|-35.79441053596| 0.1683|   -0.3413| 0.2104|   -2.856| 0.331|   -6.160| 0.287|       |
                        |Gaia DR2 4038917361775812608|270.60755335681| 0.3380|-35.79408001829| 0.3072|    0.3074| 0.2677|   -2.932| 0.612|   -5.600| 0.526|       |
                        |Gaia DR2 4038917361775801600|270.60866823592| 0.3760|-35.79381184895| 0.3476|    0.0419| 0.4332|   -2.445| 0.721|   -1.637| 0.644|       |
                        |Gaia DR2 4038917361775820160|270.60647603792| 3.5961|-35.79438334378| 3.3410|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775817600|270.60542063158| 0.2537|-35.79509406475| 0.2309|   -0.5810| 0.3037|   -3.983| 0.443|    0.348| 0.383|       |
                        |Gaia DR2 4038917357458558720|270.60519644522| 3.0045|-35.79521545058| 2.5887|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775834880|270.60653834507| 5.4632|-35.79244825763| 4.9729|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775828608|270.60761360923| 0.3808|-35.79273922956| 0.3518|   -0.5287| 0.4312|   -4.534| 0.726|   -7.136| 0.642|       |
                        |Gaia DR2 4038917361880299136|270.60684420234|35.1585|-35.79212616435|34.6291|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917357458558976|270.60684766968| 0.2156|-35.79409962803| 0.1895|   -0.1735| 0.2611|   -0.290| 0.370|   -7.946| 0.315|       |
                        |Gaia DR2 4038917361775834624|270.60732046640| 7.4006|-35.79220899391| 7.1892|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361880302592|270.60146409060|11.8845|-35.79597101439|11.1072|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775855744|270.60060558467| 0.1441|-35.79605912219| 0.1308|    0.2428| 0.1603|    2.770| 0.256|    0.003| 0.224|       |
                        |Gaia DR2 4038917361775846528|270.60133605484| 0.5371|-35.79689850119| 0.5084|   -0.2047| 0.7181|   -6.361| 1.179|   -8.467| 1.223|       |
                        |Gaia DR2 4038917361775858176|270.60212302485| 1.3129|-35.79522202001| 1.1322|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775850496|270.60384908786| 1.3601|-35.79436718034| 3.5398|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917357477051008|270.60229062081| 0.2252|-35.79494380456| 0.2134|   -0.2730| 0.2686|   -3.327| 0.406|   -9.134| 0.357|       |
                        |Gaia DR2 4038917361775880064|270.60068242641| 0.3349|-35.79440363183| 0.3047|    0.5201| 0.3568|   -3.043| 0.632|   -8.555| 0.549|       |
                        |Gaia DR2 4038917361810605312|270.59917431347| 0.3188|-35.79405560505| 0.2917|   -0.1190| 0.3424|   -2.674| 0.573|   -3.278| 0.494|       |
                        |Gaia DR2 4038917361775880192|270.60078792479| 4.1079|-35.79462962040| 3.0387|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775884160|270.60106697635| 0.3638|-35.79329456577| 0.3444|    0.7736| 0.4383|   -4.969| 0.686|   -6.913| 0.615|       |
                        |Gaia DR2 4038917361775884416|270.60132954108| 0.4734|-35.79380203718| 0.4462|    1.3933| 0.5814|   -2.327| 0.918|   -0.377| 0.808|       |
                        |Gaia DR2 4038917361775877760|270.60141694996| 0.2152|-35.79436819180| 0.2037|   -0.7273| 0.2598|   -0.415| 0.391|   -4.038| 0.342|       |
                        |Gaia DR2 4038917357452326272|270.60169421232| 0.0499|-35.79236118853| 0.0473|    0.3470| 0.0541|   -0.567| 0.091|   -4.561| 0.077|       |
                        |Gaia DR2 4038917361775884288|270.60139582279| 7.5587|-35.79343602910| 9.2012|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775862528|270.60415774215| 0.3760|-35.79311702987| 0.3555|    0.0031| 0.4740|   -1.426| 0.717|   -4.523| 0.658|       |
                        |Gaia DR2 4038917361775867648|270.60424688245| 0.3759|-35.79269705872| 0.3584|    0.5529| 0.4646|   -6.101| 0.726|   -3.432| 0.647|       |
                        |Gaia DR2 4038917361775876864|270.60353643667| 1.0593|-35.79256680247| 0.6989|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361776628608|270.60510430429| 0.3694|-35.79268039776| 0.3401|    0.0831| 0.4219|   -2.797| 0.749|   -3.142| 0.693|       |
                        |Gaia DR2 4038917361775879424|270.60577248469| 0.2072|-35.79045594602| 0.1877|   -0.2788| 0.2327|   -2.881| 0.370|    0.502| 0.319|       |
                        |Gaia DR2 4038917361775860608|270.60653479404| 0.0925|-35.79116626558| 0.0830|    0.5719| 0.1032|   -0.045| 0.164|    2.404| 0.141|       |
                        |Gaia DR2 4038917361775834496|270.60649530060| 0.1124|-35.79187257304| 0.0999|   -0.3116| 0.1226|   -2.074| 0.200|   -0.067| 0.173|       |
                        |Gaia DR2 4038917361775855616|270.60566185063| 1.3005|-35.79239432394| 1.1356|    2.5741| 0.6162|   -7.505| 2.177|    3.744| 1.795|       |
                        |Gaia DR2 4038917357472329984|270.60250547372| 1.4443|-35.79101452529| 1.1321|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775889920|270.60274949233| 0.8950|-35.79198857902| 0.7488|    0.0411| 0.7333|   -2.777| 1.452|   -8.427| 1.181|       |
                        |Gaia DR2 4038917361775889792|270.60334095983| 0.1930|-35.79167252363| 0.1824|   -0.2416| 0.2205|   -2.983| 0.349|   -6.364| 0.306|       |
                        |Gaia DR2 4038917361775882112|270.60420626684| 6.0354|-35.79157014377| 8.3118|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775884928|270.60319046672| 0.3964|-35.79090447521| 0.3462|   -0.4927| 0.5133|   -2.695| 0.665|   -7.474| 0.557|       |
                        |Gaia DR2 4038917361775890048|270.60252887892| 2.0390|-35.79235611245| 1.7992|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361776634624|270.60419346435| 0.5573|-35.78905066019| 0.5106|    1.1110| 0.6664|   -3.741| 1.038|   -3.928| 0.949|       |
                        |Gaia DR2 4038917361775884672|270.60463571468| 0.0993|-35.79092174695| 0.0896|    0.0626| 0.1045|   -0.785| 0.179|   -0.977| 0.153|       |
                        |Gaia DR2 4038917361775885312|270.60451649433|13.9690|-35.79057948091|12.3721|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361776697984|270.60323694351| 1.0638|-35.79037249914| 0.9523|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917361775885184|270.60396161000| 0.1772|-35.79095175713| 0.1623|    0.4607| 0.1893|    0.043| 0.316|   -7.012| 0.269|       |
                        |Gaia DR2 4038917396135351680|270.61540840776| 0.6700|-35.79848387741| 0.6204|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135330688|270.61613244160| 1.1304|-35.79907393195| 1.1142|    5.9756| 0.9763|  -10.251| 2.131|   -0.979| 1.812|       |
                        |Gaia DR2 4038917396135364608|270.61611914808| 0.5534|-35.79721289057| 0.5658|   -0.7851| 0.5752|    3.908| 1.238|   -3.833| 1.072|       |
                        |Gaia DR2 4038917396136337408|270.61679044931| 0.6276|-35.79770479531| 0.5562|   -0.2195| 0.7161|   -4.709| 1.444|   -9.382| 1.411|       |
                        |Gaia DR2 4038917396135332992|270.61696763479| 0.5641|-35.79822230993| 0.5225|   -0.3908| 0.7012|   -0.229| 1.250|  -10.107| 1.305|       |
                        |Gaia DR2 4038917396135395584|270.61357617257| 0.2532|-35.79778880262| 0.2304|   -0.2579| 0.2870|   -0.517| 0.477|   -3.628| 0.429|       |
                        |Gaia DR2 4038917396135421568|270.61432508789| 0.4226|-35.79578181171| 0.3916|    0.6388| 0.4846|   -4.967| 0.813|   -5.505| 0.726|       |
                        |Gaia DR2 4038917396135410304|270.61511742742| 0.3193|-35.79466838438| 0.3159|    1.3195| 0.3295|    0.123| 0.613|   -4.951| 0.507|       |
                        |Gaia DR2 4038917396135397760|270.61498620479| 0.2361|-35.79651795632| 0.2150|    0.1762| 0.2711|   -1.698| 0.444|   -9.780| 0.397|       |
                        |Gaia DR2 4038917396135410560|270.61551227425| 0.6093|-35.79528305586| 0.6030|    0.0306| 0.6506|   -2.380| 1.224|   -4.146| 1.033|       |
                        |Gaia DR2 4038917396135390464|270.61592228676| 0.4713|-35.79595878073| 0.4089|   -0.2684| 0.5066|   -0.043| 0.906|   -0.573| 0.850|       |
                        |Gaia DR2 4038917396135397632|270.61525621810| 0.2430|-35.79603140735| 0.2199|   -0.4613| 0.2768|   -4.278| 0.454|   -5.677| 0.407|       |
                        |Gaia DR2 4038917396135410432|270.61540712156| 2.6107|-35.79498196942| 1.9919|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917391815816320|270.61775256012| 0.0799|-35.79491349080| 0.0824|    0.0124| 0.0766|   -4.010| 0.164|   -4.351| 0.137|       |
                        |Gaia DR2 4038917396135362432|270.61749476588| 0.2602|-35.79613939178| 0.2366|    0.3016| 0.2828|    0.756| 0.491|   -2.969| 0.430|       |
                        |Gaia DR2 4038917396135377920|270.61933538623|21.1379|-35.79380246874|24.4551|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135371776|270.61877326024| 0.3020|-35.79455975980| 0.2927|    0.1655| 0.3156|   -0.552| 0.594|   -6.569| 0.507|       |
                        |Gaia DR2 4038917396135386112|270.61646052469| 4.0744|-35.79574700258| 4.1831|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135398656|270.61697759217| 0.1113|-35.79473315932| 0.1115|    0.0205| 0.1095|   -3.067| 0.224|   -6.464| 0.190|       |
                        |Gaia DR2 4038917396135398784|270.61740535708| 0.6707|-35.79435207451| 0.6340|   -0.4043| 0.4954|   -4.718| 1.233|  -10.231| 1.180|       |
                        |Gaia DR2 4038917396240014208|270.61621391893| 0.0638|-35.79397243848| 0.0599|    0.7348| 0.0637|   -1.181| 0.123|   -2.238| 0.104|       |
                        |Gaia DR2 4038917396136666752|270.61740282628| 1.6686|-35.79347981684| 1.0181|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135400576|270.61856633253|50.5607|-35.79262520989|50.0707|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917391832144000|270.61705589540| 0.0517|-35.79294535352| 0.0456|    0.1159| 0.0530|   -4.678| 0.093|   -9.958| 0.077|       |
                        |Gaia DR2 4038917396136433792|270.61824903003| 0.6055|-35.79324050460| 0.4971|    1.4942| 0.5502|   -4.620| 1.097|   -4.930| 0.911|       |
                        |Gaia DR2 4038917396135400960|270.61890882712| 0.1981|-35.79292081804| 0.1768|    1.0466| 0.2186|    1.526| 0.366|    0.836| 0.323|       |
                        |Gaia DR2 4038917396135430272|270.61285006832|36.0518|-35.79615800917|34.6111|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135430144|270.61240814337| 1.7460|-35.79633498644| 1.7260|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917391812035456|270.61312941160| 0.1200|-35.79627227552| 0.0988|    0.0862| 0.1436|   -3.267| 0.182|   -5.070| 0.161|       |
                        |Gaia DR2 4038917396135468288|270.61247234213| 0.5014|-35.79478694506| 0.4196|    2.2168| 0.6070|   -1.419| 0.816|   -3.901| 0.720|       |
                        |Gaia DR2 4038917396135440640|270.61362699142| 5.9922|-35.79539869495| 8.2709|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917391812046848|270.61187022379| 0.0875|-35.79466095534| 0.0740|    0.4419| 0.1031|   -2.856| 0.140|   -5.492| 0.122|       |
                        |Gaia DR2 4038917396135500416|270.61152465851| 0.5507|-35.79350461637| 0.5039|    0.1791| 0.6159|    3.869| 1.115|   -1.122| 1.028|       |
                        |Gaia DR2 4038917396240024448|270.61071308756| 0.4096|-35.79461164394| 0.3661|    0.8278| 0.4796|   -5.848| 0.811|   -2.907| 0.754|       |
                        |Gaia DR2 4038917396240025856|270.60996847184| 0.7954|-35.79461174508| 0.7089|    2.3959| 0.8707|   -5.616| 1.414|   -5.641| 1.226|       |
                        |Gaia DR2 4038917396135468160|270.61197288099| 0.8124|-35.79500366032| 0.8232|   -0.4507| 0.8014|   -2.753| 1.335|   -7.771| 1.169|       |
                        |Gaia DR2 4038917361775751808|270.61045989207| 0.5590|-35.79523043407| 0.5913|    1.0790| 0.5849|   -2.335| 1.333|   -5.699| 1.150|       |
                        |Gaia DR2 4038917396135499520|270.61138981416| 0.3520|-35.79394975030| 0.3245|    0.1131| 0.3809|   -3.117| 0.663|   -4.896| 0.590|       |
                        |Gaia DR2 4038917396136435072|270.61266334234| 0.8666|-35.79356639870| 0.4984|   -0.3550| 0.8863|   -0.482| 1.061|   -6.569| 0.867|       |
                        |Gaia DR2 4038917396135500544|270.61187119170| 0.4712|-35.79345468776| 0.4294|    1.7519| 0.5201|   -2.522| 0.874|   -4.463| 0.766|       |
                        |Gaia DR2 4038917396135517312|270.61165621261| 0.2675|-35.79267872900| 0.2392|    0.6055| 0.2904|   -2.832| 0.479|   -4.469| 0.411|       |
                        |Gaia DR2 4038917396135481088|270.61361004815| 0.5462|-35.79301762844| 0.5660|   -0.5819| 0.5395|   -2.853| 1.247|   -1.013| 1.089|       |
                        |Gaia DR2 4038917396135437824|270.61603581111| 0.3847|-35.79350538149| 0.3514|    0.0275| 0.4096|   -5.443| 0.784|   -4.530| 0.727|       |
                        |Gaia DR2 4038917396135466240|270.61503528906| 0.3885|-35.79271253403| 0.3527|   -0.4493| 0.4089|   -1.080| 0.736|   -2.473| 0.644|       |
                        |Gaia DR2 4038917396135456384|270.61735649108| 6.0533|-35.79187385630| 8.2724|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917391818299136|270.61696155449| 0.1423|-35.79162543998| 0.1105|    0.2434| 0.1742|   -3.277| 0.197|   -3.842| 0.175|       |
                        |Gaia DR2 4038917396135475968|270.61633538070| 0.3568|-35.79105100443| 0.3147|   -1.3281| 0.3816|   -2.259| 0.633|  -10.011| 0.543|       |
                        |Gaia DR2 4038917396135481600|270.61639834989| 0.5759|-35.79057557327| 0.5321|   -0.6105| 0.4558|   -2.200| 1.032|   -5.528| 0.910|       |
                        |Gaia DR2 4038917396135523456|270.61340368626| 0.2796|-35.79078686007| 0.2463|    1.3469| 0.3028|   -1.048| 0.492|   -6.563| 0.421|       |
                        |Gaia DR2 4038917396135489664|270.61488067834| 0.4707|-35.79148257549| 0.4515|    0.4700| 0.5004|    1.127| 1.008|   -5.964| 0.893|       |
                        |Gaia DR2 4038917391812071680|270.61398733021| 0.0625|-35.79167417620| 0.0547|    0.1808| 0.0647|   -0.014| 0.111|   -9.367| 0.093|       |
                        |Gaia DR2 4038917396135485440|270.61562151783| 0.2997|-35.79105121670| 0.2583|   -0.1787| 0.3275|   -2.699| 0.512|   -4.254| 0.438|       |
                        |Gaia DR2 4038917396135520000|270.61416007386| 0.5129|-35.79032000767| 0.4515|    3.9233| 0.5517|    5.518| 0.942|  -11.195| 0.825|       |
                        |Gaia DR2 4038917396135380224|270.62014057160| 0.8574|-35.79304540257| 0.8454|   -2.3986| 0.9994|   -0.219| 1.779|   -7.486| 1.710|       |
                        |Gaia DR2 4038917396136337536|270.62149559187| 0.7024|-35.79360344983| 0.4432|   -0.5310| 0.8289|   -1.620| 1.000|   -2.092| 0.848|       |
                        |Gaia DR2 4038917396240007680|270.62264000896| 0.4384|-35.79078460291| 0.4012|    2.2272| 0.5029|   -4.987| 0.905|   -7.777| 0.844|       |
                        |Gaia DR2 4038917396135376000|270.62228528083| 0.1778|-35.79141445055| 0.1605|   -0.0680| 0.2017|   -0.037| 0.330|   -5.722| 0.294|       |
                        |Gaia DR2 4038917396135384576|270.62115139028| 0.4389|-35.79188693144| 0.4047|    0.4599| 0.5133|   -3.278| 0.916|   -6.737| 0.859|       |
                        |Gaia DR2 4038917396135368576|270.62207422432| 0.5723|-35.79187246843| 0.4571|    0.7427| 0.6357|   -2.097| 0.978|   -1.384| 0.861|       |
                        |Gaia DR2 4038917396135375872|270.62096393978| 6.0741|-35.79137733664| 8.5910|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917391836803840|270.62167296396| 1.2506|-35.79115659733| 1.4945|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135409664|270.61990319118| 0.3476|-35.79157070740| 0.3114|   -1.3001| 0.3908|   -2.945| 0.639|   -3.566| 0.568|       |
                        |Gaia DR2 4038917396135432064|270.62013093562| 0.3420|-35.79031286432| 0.3351|   -0.2207| 0.3633|   -2.597| 0.680|   -3.704| 0.587|       |
                        |Gaia DR2 4038917396136347648|270.62057833651| 0.3612|-35.78901821359| 0.3227|    0.1802| 0.3748|   -5.223| 0.681|   -4.760| 0.590|       |
                        |Gaia DR2 4038917396135438976|270.62050984967| 0.4514|-35.78963501815| 0.3993|    0.3098| 0.4973|   -1.709| 0.858|   -6.941| 0.804|       |
                        |Gaia DR2 4038917396135403776|270.62168929328| 0.5514|-35.79039647505| 0.4489|    0.1411| 0.6758|   -7.832| 1.024|  -10.392| 0.914|       |
                        |Gaia DR2 4038917396135389952|270.62286713305|33.1826|-35.78972763350|32.7345|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135380992|270.62285040578| 0.1931|-35.79038111979| 0.1754|    0.4921| 0.2199|   -0.506| 0.360|   -4.047| 0.320|       |
                        |Gaia DR2 4038917396135390080|270.62301526302| 0.3357|-35.78992070477| 0.3041|   -1.1481| 0.3791|   -0.866| 0.621|   -6.869| 0.551|       |
                        |Gaia DR2 4038917396135406080|270.62385408393| 0.8295|-35.78834063399| 0.4900|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135389696|270.62507852419| 0.2322|-35.78815632209| 0.1444|    0.1096| 0.3027|   -3.549| 0.291|   -4.690| 0.250|       |
                        |Gaia DR2 4038917396135370240|270.62555481483| 0.5117|-35.78878819299| 0.5004|    0.9212| 0.6389|   -4.270| 1.126|   -5.518| 0.986|       |
                        |Gaia DR2 4038917391832166272|270.62237090545| 0.3489|-35.78872404953| 0.3134|   -1.0607| 0.3940|   -2.698| 0.645|   -3.106| 0.577|       |
                        |Gaia DR2 4038917396135425024|270.62177456359| 0.3041|-35.78868327477| 0.2786|   -0.8830| 0.3515|   -3.500| 0.629|   -4.364| 0.587|       |
                        |Gaia DR2 4038917396135429504|270.62165509586| 0.4373|-35.78914262116| 0.4143|   -0.0663| 0.5178|   -0.461| 1.002|   -6.558| 0.971|       |
                        |Gaia DR2 4038917396240012672|270.62419918762| 0.2433|-35.78774505389| 0.2039|    1.2640| 0.2694|   -4.008| 0.424|   -5.947| 0.374|       |
                        |Gaia DR2 4038917396135482112|270.61681882319| 0.1958|-35.79016162428| 0.1774|    0.0320| 0.2227|   -1.102| 0.349|    2.447| 0.302|       |
                        |Gaia DR2 4038917391812076672|270.61874818577| 0.0791|-35.79069443344| 0.0711|   -0.0472| 0.0871|   -3.238| 0.141|  -10.318| 0.121|       |
                        |Gaia DR2 4038917396136347520|270.61921843941| 4.1208|-35.79024204241| 3.1075|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396136350080|270.61754590582| 0.8095|-35.79027840707| 0.5790|    0.6676| 0.9562|   -4.876| 1.202|  -10.625| 0.996|       |
                        |Gaia DR2 4038917396135479040|270.61973634288| 1.5232|-35.78796083609| 1.2098|    3.3230| 1.7488|    2.419| 2.436|   -8.063| 2.090|       |
                        |Gaia DR2 4038917396135492352|270.61680508872| 0.2545|-35.78967759804| 0.2311|    0.2780| 0.2910|   -3.114| 0.454|   -2.902| 0.395|       |
                        |Gaia DR2 4038917391812110848|270.61796064125| 0.0815|-35.78646658201| 0.0724|    0.0913| 0.0908|   -3.878| 0.143|   -4.833| 0.123|       |
                        |Gaia DR2 4038917396240022784|270.61980727263| 0.3655|-35.78708850525| 0.3293|    1.2879| 0.4187|   -1.904| 0.657|   -0.087| 0.577|       |
                        |Gaia DR2 4038917396135470336|270.62103209062| 0.6058|-35.78731381065| 0.5819|   -0.8533| 0.7747|   -4.300| 1.492|   -3.745| 1.551|       |
                        |Gaia DR2 4038917396135478912|270.61971036551| 1.2054|-35.78765498485| 1.0004|          |       |         |      |         |      |       |
                        |Gaia DR2 4038917396135484672|270.62041587352| 0.2001|-35.78697218595| 0.1848|   -0.0311| 0.2227|   -5.071| 0.359|    1.612| 0.309|       |
                        |Gaia DR2 4038917396135467264|270.62293518911| 0.3731|-35.78588254612| 0.2428|    1.8488| 0.4932|   -3.609| 0.462|  -17.110| 0.416|       |
                        |Gaia DR2 4038917396135475840|270.62214101577| 0.3247|-35.78607307218| 0.2890|   -0.4396| 0.3996|   -0.454| 0.587|   -4.614| 0.518|       |
                        |Gaia DR2 4038917396240020608|270.62199899126| 0.7636|-35.78657142834| 0.6453|    7.9508| 0.8395|  -13.274| 1.350|   -6.113| 1.194|       |
                        |Gaia DR2 4038917396137094656|270.61922625340| 1.0413|-35.78553249157| 0.8911|   -1.5177| 0.9936|   -4.402| 2.075|   -4.503| 1.773|       |
